MaarjAM accession number,GenBank accession number,Fungal class,Fungal order,Fungal family,Fungal genus,Fungal species,VTX,Source,Source specify,Host subclass,Host superorder,Host order,Host family,Host genus,Host species,Ecosystem,Biome,Habitat,Climatic zone,Biogeo realm,Soil pH,C content,P content,N content,Altitude (m),Average annual precipitation (mm),Continent,Country,State,Location,Coordinates,Culture code,Forward primer,Reverse primer,Marker region,Sequencing method,Sequencing chemistry,Journal,Year,Title,Authors
MOA07314,AB669128,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Higo13 Scu1,,soil,,,,,,,,anthropogenic,Anthropogenic ecosystem,arable field,subtropical,Palearctic,,,,,,,Asia,Japan,Kanagawa Prefecture,Nihon University,35deg22.00'N 139deg27.00'E,,FLR3,FLR4,28S rDNA,Sanger,,Biology and Fertility of Soils,2013,Diversity and vertical distribution of indigenous arbuscular mycorrhizal fungi under two soybean rotational systems,"Higo, M.; Isobe, K.; Yamaguchi, M.; Drijber, R. A.; Jeske, E.S.; Ishii, R."
MOA07318,AB669132,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,Higo13 Giga1,,soil,,,,,,,,anthropogenic,Anthropogenic ecosystem,arable field,subtropical,Palearctic,,,,,,,Asia,Japan,Kanagawa Prefecture,Nihon University,35deg22.00'N 139deg27.00'E,,FLR3,FLR4,28S rDNA,Sanger,,Biology and Fertility of Soils,2013,Diversity and vertical distribution of indigenous arbuscular mycorrhizal fungi under two soybean rotational systems,"Higo, M.; Isobe, K.; Yamaguchi, M.; Drijber, R. A.; Jeske, E.S.; Ishii, R."
MOA07186,AB670045,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Yamato12 Scu1,,plant roots,,Magnoliidae,Asteranae,Asterales,Asteraceae,Ixeris,repens,successional,Azonal & successional,sand dune,subtropical,Palearctic,6.9,,4.9 mg/kg (Available P),,,1914,Asia,Japan,Tottori Perfecture,Tottori,35deg32.30'N 134deg12.30'E,,LR1,FLR2,28S rDNA,Sanger,,Mycorrhiza,2012,Effect of environmental gradient in coastal vegetation on communities of arbuscular mycorrhizal fungi associated with Ixeris repens (Asteraceae),"Yamato, M.; Yagame, T.; Yoshimura, Y.; Iwase, K."
MOA07187,AB670051,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Yamato12 Scu1,,plant roots,,Magnoliidae,Asteranae,Asterales,Asteraceae,Ixeris,repens,successional,Azonal & successional,sand dune,subtropical,Palearctic,6.9,,4.9 mg/kg (Available P),,,1914,Asia,Japan,Tottori Perfecture,Tottori,35deg32.30'N 134deg12.30'E,,LR1,FLR2,28S rDNA,Sanger,,Mycorrhiza,2012,Effect of environmental gradient in coastal vegetation on communities of arbuscular mycorrhizal fungi associated with Ixeris repens (Asteraceae),"Yamato, M.; Yagame, T.; Yoshimura, Y.; Iwase, K."
MOA07188,AB670055,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Yamato12 Scu2,,plant roots,,Magnoliidae,Asteranae,Asterales,Asteraceae,Ixeris,repens,successional,Azonal & successional,sand dune,subtropical,Palearctic,6.9,,4.9 mg/kg (Available P),,,1914,Asia,Japan,Tottori Perfecture,Tottori,35deg32.30'N 134deg12.30'E,,LR1,FLR2,28S rDNA,Sanger,,Mycorrhiza,2012,Effect of environmental gradient in coastal vegetation on communities of arbuscular mycorrhizal fungi associated with Ixeris repens (Asteraceae),"Yamato, M.; Yagame, T.; Yoshimura, Y.; Iwase, K."
MOA07189,AB670056,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Yamato12 Scu2,,plant roots,,Magnoliidae,Asteranae,Asterales,Asteraceae,Ixeris,repens,successional,Azonal & successional,sand dune,subtropical,Palearctic,6.9,,4.9 mg/kg (Available P),,,1914,Asia,Japan,Tottori Perfecture,Tottori,35deg32.30'N 134deg12.30'E,,LR1,FLR2,28S rDNA,Sanger,,Mycorrhiza,2012,Effect of environmental gradient in coastal vegetation on communities of arbuscular mycorrhizal fungi associated with Ixeris repens (Asteraceae),"Yamato, M.; Yagame, T.; Yoshimura, Y.; Iwase, K."
MOA07190,AB670069,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Yamato12 Scu1,,plant roots,,Magnoliidae,Asteranae,Asterales,Asteraceae,Ixeris,repens,successional,Azonal & successional,sand dune,subtropical,Palearctic,6.9,,4.9 mg/kg (Available P),,,1914,Asia,Japan,Tottori Perfecture,Tottori,35deg32.30'N 134deg12.30'E,,LR1,FLR2,28S rDNA,Sanger,,Mycorrhiza,2012,Effect of environmental gradient in coastal vegetation on communities of arbuscular mycorrhizal fungi associated with Ixeris repens (Asteraceae),"Yamato, M.; Yagame, T.; Yoshimura, Y.; Iwase, K."
MOA07191,AB670070,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Yamato12 Scu2,,plant roots,,Magnoliidae,Asteranae,Asterales,Asteraceae,Ixeris,repens,successional,Azonal & successional,sand dune,subtropical,Palearctic,6.9,,4.9 mg/kg (Available P),,,1914,Asia,Japan,Tottori Perfecture,Tottori,35deg32.30'N 134deg12.30'E,,LR1,FLR2,28S rDNA,Sanger,,Mycorrhiza,2012,Effect of environmental gradient in coastal vegetation on communities of arbuscular mycorrhizal fungi associated with Ixeris repens (Asteraceae),"Yamato, M.; Yagame, T.; Yoshimura, Y.; Iwase, K."
MOA07192,AB670081,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Yamato12 Scu2,,plant roots,,Magnoliidae,Asteranae,Asterales,Asteraceae,Ixeris,repens,successional,Azonal & successional,sand dune,subtropical,Palearctic,6.9,,4.9 mg/kg (Available P),,,1914,Asia,Japan,Tottori Perfecture,Tottori,35deg32.30'N 134deg12.30'E,,LR1,FLR2,28S rDNA,Sanger,,Mycorrhiza,2012,Effect of environmental gradient in coastal vegetation on communities of arbuscular mycorrhizal fungi associated with Ixeris repens (Asteraceae),"Yamato, M.; Yagame, T.; Yoshimura, Y.; Iwase, K."
MOA43591,AB909064,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Yamato14 Gig1,,plant roots,,Magnoliidae,Lilianae,Petrosaviales,Petrosaviaceae,Japonolirion,osense,,,,subtropical,Palearctic,,,,,,,Asia,Japan,Gunma Prefecture,Shibutsu,36deg54.00'N 139deg12.00'E,,AML1,AML2,18S rDNA,Sanger,,Journal of Plant Research,2014,Significant difference in mycorrhizal specificity between an autotrophic and its sister mycoheterotrophic plant species of Petrosaviaceae,"Yamato, M.; Ogura-Tsujita, Y.; Takahashi, H.; Yukawa, T."
MOA43593,AB909085,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Yamato14 Gig1,,plant roots,,Magnoliidae,Lilianae,Petrosaviales,Petrosaviaceae,Japonolirion,osense,,,,subtropical,Palearctic,,,,,,,Asia,Japan,Gunma Prefecture,Tanigawadake,36deg50.00'N 138deg54.00'E,,AML1,AML2,18S rDNA,Sanger,,Journal of Plant Research,2014,Significant difference in mycorrhizal specificity between an autotrophic and its sister mycoheterotrophic plant species of Petrosaviaceae,"Yamato, M.; Ogura-Tsujita, Y.; Takahashi, H.; Yukawa, T."
MOA43592,AB909086,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Yamato14 Gig1,,plant roots,,Magnoliidae,Lilianae,Petrosaviales,Petrosaviaceae,Japonolirion,osense,,,,subtropical,Palearctic,,,,,,,Asia,Japan,Gunma Prefecture,Tanigawadake,36deg50.00'N 138deg54.00'E,,AML1,AML2,18S rDNA,Sanger,,Journal of Plant Research,2014,Significant difference in mycorrhizal specificity between an autotrophic and its sister mycoheterotrophic plant species of Petrosaviaceae,"Yamato, M.; Ogura-Tsujita, Y.; Takahashi, H.; Yukawa, T."
MOA05042,AF004685,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,gigantea,,cultured spores,,,,,,,,culture,,culture,,,,,,,,,,,,,0deg0.00' 0deg0.00',PA149,ITS1Kpn,ITS4Pst,ITS,Sanger,,FEMS Microbiology Letters,2001,"Taxon-specific oligonucleotide primers for detection of two ancient endomycorrhizal fungi, Glomus occultum and Glomus brasilianum","Millner, P.D.; Mulbry, W.W.; Reynolds, S.L."
MOA05045,AF004696,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,rosea,,cultured spores,,,,,,,,anthropogenic,Anthropogenic ecosystem,arable land,subtropical,Nearctic,,,,,,,North America,USA,Florida,Gainesville,0deg0.00' 0deg0.00',FL105,ITS1Kpn,ITS4Pst,ITS,Sanger,,FEMS Microbiology Letters,2001,"Taxon-specific oligonucleotide primers for detection of two ancient endomycorrhizal fungi, Glomus occultum and Glomus brasilianum","Millner, P.D.; Mulbry, W.W.; Reynolds, S.L."
MOA05046,AF004697,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,rosea,,cultured spores,,,,,,,,anthropogenic,Anthropogenic ecosystem,arable land,subtropical,Nearctic,,,,,,,North America,USA,Florida,Gainesville,0deg0.00' 0deg0.00',FL105,ITS1Kpn,ITS4Pst,ITS,Sanger,,FEMS Microbiology Letters,2001,"Taxon-specific oligonucleotide primers for detection of two ancient endomycorrhizal fungi, Glomus occultum and Glomus brasilianum","Millner, P.D.; Mulbry, W.W.; Reynolds, S.L."
MOA05047,AF004698,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,rosea,,cultured spores,,,,,,,,anthropogenic,Anthropogenic ecosystem,arable land,subtropical,Nearctic,,,,,,,North America,USA,Florida,Gainesville,0deg0.00' 0deg0.00',FL105,ITS1Kpn,ITS4Pst,ITS,Sanger,,FEMS Microbiology Letters,2001,"Taxon-specific oligonucleotide primers for detection of two ancient endomycorrhizal fungi, Glomus occultum and Glomus brasilianum","Millner, P.D.; Mulbry, W.W.; Reynolds, S.L."
MOA05048,AF004699,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,rosea,,cultured spores,,,,,,,,anthropogenic,Anthropogenic ecosystem,arable land,subtropical,Nearctic,,,,,,,North America,USA,Florida,Gainesville,0deg0.00' 0deg0.00',FL105,ITS1Kpn,ITS4Pst,ITS,Sanger,,FEMS Microbiology Letters,2001,"Taxon-specific oligonucleotide primers for detection of two ancient endomycorrhizal fungi, Glomus occultum and Glomus brasilianum","Millner, P.D.; Mulbry, W.W.; Reynolds, S.L."
ESA00928,AF074340,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Scut1,VTX00049,plant roots,,Magnoliidae,Lilianae,Asparagales,Asparagaceae,Hyacinthoides,non-scripta,forest,Temperate broadleaf & mixed forest,temperate broad-leaved forest,temperate,Palearctic,,,,,,,Europe,United Kingdom,England,Castle Howard,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Nature,1998,Ploughing up the wood-wide web?,"Helgason, T.; Daniell, T.; Husband, R.; Fitter, A.H.; Young, J.P.W."
ESA00936,AF074342,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,dipurpurescens,VTX00049,other,isolate S.dipur.2,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,culture,,culture,,,,,,,,,,,,,0deg0.00' 0deg0.00',,NS31,AM1,18S rDNA,Sanger,,Nature,1998,Ploughing up the wood-wide web?,"Helgason, T.; Daniell, T.; Husband, R.; Fitter, A.H.; Young, J.P.W."
ESA00946,AF131020,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Scut1,VTX00049,plant roots,,Magnoliidae,Lilianae,Asparagales,Asparagaceae,Hyacinthoides,non-scripta,forest,Temperate broadleaf & mixed forest,temperate broad-leaved forest,temperate,Palearctic,,,,,50,,Europe,United Kingdom,England,Pretty Wood,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Molecular Ecology,1999,Molecular diversity of arbuscular mycorrhizal fungi colonising Hyacinthoides non-scripta (bluebell) in a seminatural woodland,"Helgason, T.; Fitter, A.H.; Young, J.P.W."
ESA00947,AF131023,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Scut1,VTX00049,plant roots,,Magnoliidae,Lilianae,Asparagales,Asparagaceae,Hyacinthoides,non-scripta,forest,Temperate broadleaf & mixed forest,temperate broad-leaved forest,temperate,Palearctic,,,,,50,,Europe,United Kingdom,England,Pretty Wood,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Molecular Ecology,1999,Molecular diversity of arbuscular mycorrhizal fungi colonising Hyacinthoides non-scripta (bluebell) in a seminatural woodland,"Helgason, T.; Fitter, A.H.; Young, J.P.W."
ESA00957,AF131025,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Scut1,VTX00049,plant roots,,Magnoliidae,Lilianae,Asparagales,Asparagaceae,Hyacinthoides,non-scripta,forest,Temperate broadleaf & mixed forest,temperate broad-leaved forest,temperate,Palearctic,,,,,50,,Europe,United Kingdom,England,Pretty Wood,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Molecular Ecology,1999,Molecular diversity of arbuscular mycorrhizal fungi colonising Hyacinthoides non-scripta (bluebell) in a seminatural woodland,"Helgason, T.; Fitter, A.H.; Young, J.P.W."
ESA00968,AF131027,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,dipurpurescens,VTX00049,cultured spores,isolate INVAM WV109A,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,anthropogenic,Anthropogenic ecosystem,abandoned mine,subtropical,Nearctic,4.1,,< 2 (Âµg/g),,,,North America,USA,West Virginia,near Manown,39deg30.00'N 79deg45.00'W,WV109A,NS31,AM1,18S rDNA,Sanger,,Molecular Ecology,1999,Molecular diversity of arbuscular mycorrhizal fungi colonising Hyacinthoides non-scripta (bluebell) in a seminatural woodland,"Helgason, T.; Fitter, A.H.; Young, J.P.W."
