MaarjAM accession number,GenBank accession number,Fungal class,Fungal order,Fungal family,Fungal genus,Fungal species,VTX,Source,Source specify,Host subclass,Host superorder,Host order,Host family,Host genus,Host species,Ecosystem,Biome,Habitat,Climatic zone,Biogeo realm,Soil pH,C content,P content,N content,Altitude (m),Average annual precipitation (mm),Continent,Country,State,Location,Coordinates,Culture code,Forward primer,Reverse primer,Marker region,Sequencing method,Sequencing chemistry,Journal,Year,Title,Authors
ESA01299,AB178764,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,PSAM-Aca-1,VTX00023,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Saccharum,spontaneum,successional,Azonal & successional,lahar area,tropical,Indo-Malay,6.1,1700 mg kg-1 (total C),"2.5 mg kg-1 (Olsen), 264 mg kg-1 (Truog)",85 mg kg-1 (total N),,,Asia,Philippines,Central Luzon,"Barangay Maniag-Pasig, Pampanga",15deg5.00'N 120deg33.00'E,,NS31,AM1,18S rDNA,Sanger,,Soil Science and Plant Nutrition,2004,"Arbuscular mycorrhizal fungal communities associated with some pioneer plants in the lahar of Mt. Pinatubo, Philippines","Oba, H.; Shinozaki, N.; Oyaizu, H.; Tawaraya, K.; Wagatsuma, T.; Barraquio, W.L.; Saito, M."
TJA00699,AB195629,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,sp.,,plant roots,,Magnoliidae,Rosanae,Fabales,Fabaceae,Trifolium ,repens,grassland,Temperate cultivated grassland,sown grassland,temperate,Palearctic,,,,,,,Asia,Japan,Miyagi Prefecture,Kawatabi,38deg43.00'N 140deg45.00'E,,,,18S rDNA,Sanger,,Japanese Journal of Grassland Science,2006,Effects of phosphate fertilization on symbiotic associations between white clover and arbuscular mycorrhizal fungi and the fungal community structures,"Sato, K.; Saito, K.; Sugawara, K."
ESA00201,AB220170,Glomeromycetes,Diversisporales,Acaulosporaceae,Kuklospora,sp.,VTX00249,other,trap culture HB1,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,anthropogenic,Anthropogenic ecosystem,abandoned quarry,subtropical,Palearctic,3.4,1.9 g kg-1 (total C),7.6 mg kg-1 (Truog-P),0.3 g kg-1 (total N),150-200,1600,Asia,Japan,Aichi prefecture,Hazu-cho,34deg47.00'N 137deg7.00'E,,NS1,NS4,18S rDNA,Sanger,,Plant and Soil ,2008,Plant symbiotic microorganisms in acid sulfate soil: significance in the growth of pioneer plants,"Maki, T.; Nomachi, M.; Yoshida, S.; Ezawa, T."
MOA08291,AB490491,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,sp.,,plant roots,,Polypodiidae,,Polypodiales,Athyriaceae,Athyrium,yokoscense,anthropogenic,Anthropogenic ecosystem,abandoned silver mine,subtropical,Palearctic,,,,,,,Asia,Japan,Hyogo Prefecture,Asago,35deg10.00'N 134deg49.00'E,,,,18S rDNA,Sanger,,Journal of Japanese Botany,2011,"Molecular identification of arbuscular mycorrhizal fungi colonizing Athyrium yokoscense of the Ikuno Mine site, Japan","Nonomura, N.; Kawada, Y.; Minamiya, Y.; Hayakawa, H.; Fukuda, T.; Kang, Y.; Sakurai, K."
MOA08292,AB490494,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,sp.,,plant roots,,Polypodiidae,,Polypodiales,Athyriaceae,Athyrium,yokoscense,anthropogenic,Anthropogenic ecosystem,abandoned silver mine,subtropical,Palearctic,,,,,,,Asia,Japan,Hyogo Prefecture,Asago,35deg10.00'N 134deg49.00'E,,,,18S rDNA,Sanger,,Journal of Japanese Botany,2011,"Molecular identification of arbuscular mycorrhizal fungi colonizing Athyrium yokoscense of the Ikuno Mine site, Japan","Nonomura, N.; Kawada, Y.; Minamiya, Y.; Hayakawa, H.; Fukuda, T.; Kang, Y.; Sakurai, K."
MOA25802,AB695040,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Yoshimura13a Aca1,,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Pyrus,pyrifolia var. culta,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6.18,44.9 g/kg (total C),383.2 mg/kg (available P),3.64 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Fukube,35deg32.23'N 134deg15.24'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of arbuscular mycorrhizal fungi in the roots of Pyrus pyrifolia var. culta (Japanese pear) in orchards with variable amounts of soil-available phosphorus,"Yoshimura, Y.; Ido, A.; Iwase, K.; Matsumoto, T.; Yamato, M."
MOA25803,AB695041,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Yoshimura13a Aca1,,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Pyrus,pyrifolia var. culta,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6.18,44.9 g/kg (total C),383.2 mg/kg (available P),3.64 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Fukube,35deg32.23'N 134deg15.24'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of arbuscular mycorrhizal fungi in the roots of Pyrus pyrifolia var. culta (Japanese pear) in orchards with variable amounts of soil-available phosphorus,"Yoshimura, Y.; Ido, A.; Iwase, K.; Matsumoto, T.; Yamato, M."
ESA00935,AF074343,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,scrobiculata,VTX00043,other,isolate A.scrob.1,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,culture,,culture,,,,,,,,,,,,,0deg0.00' 0deg0.00',,NS31,AM1,18S rDNA,Sanger,,Nature,1998,Ploughing up the wood-wide web?,"Helgason, T.; Daniell, T.; Husband, R.; Fitter, A.H.; Young, J.P.W."
ESA00929,AF074344,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acau1,VTX00272,plant roots,,Magnoliidae,Lilianae,Asparagales,Asparagaceae,Hyacinthoides,non-scripta,forest,Temperate broadleaf & mixed forest,temperate broad-leaved forest,temperate,Palearctic,,,,,,,Europe,United Kingdom,England,Castle Howard,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Nature,1998,Ploughing up the wood-wide web?,"Helgason, T.; Daniell, T.; Husband, R.; Fitter, A.H.; Young, J.P.W."
ESA00919,AF074346,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acau2,VTX00030,plant roots,,Magnoliidae,Asteranae,Lamiales,Lamiaceae,Ajuga,reptans,forest,Temperate broadleaf & mixed forest,temperate broad-leaved forest,temperate,Palearctic,,,,,,,Europe,United Kingdom,England,Castle Howard,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Nature,1998,Ploughing up the wood-wide web?,"Helgason, T.; Daniell, T.; Husband, R.; Fitter, A.H.; Young, J.P.W."
ESA00934,AF074347,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,laevis,VTX00023,other,isolate A.lae.5,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,culture,,culture,,,,,,,,,,,,,0deg0.00' 0deg0.00',,NS31,AM1,18S rDNA,Sanger,,Nature,1998,Ploughing up the wood-wide web?,"Helgason, T.; Daniell, T.; Husband, R.; Fitter, A.H.; Young, J.P.W."
ESA00930,AF074348,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acau3,VTX00228,plant roots,,Magnoliidae,Lilianae,Asparagales,Asparagaceae,Hyacinthoides,non-scripta,forest,Temperate broadleaf & mixed forest,temperate broad-leaved forest,temperate,Palearctic,,,,,,,Europe,United Kingdom,England,Castle Howard,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Nature,1998,Ploughing up the wood-wide web?,"Helgason, T.; Daniell, T.; Husband, R.; Fitter, A.H.; Young, J.P.W."
ESA00925,AF074350,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acau4,VTX00010,plant roots,,Magnoliidae,Asteranae,Lamiales,Lamiaceae,Glechoma,hederacea,forest,Temperate broadleaf & mixed forest,temperate broad-leaved forest,temperate,Palearctic,,,,,,,Europe,United Kingdom,England,Castle Howard,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Nature,1998,Ploughing up the wood-wide web?,"Helgason, T.; Daniell, T.; Husband, R.; Fitter, A.H.; Young, J.P.W."
ESA00931,AF074351,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acau4,VTX00010,plant roots,,Magnoliidae,Lilianae,Asparagales,Asparagaceae,Hyacinthoides,non-scripta,forest,Temperate broadleaf & mixed forest,temperate broad-leaved forest,temperate,Palearctic,,,,,,,Europe,United Kingdom,England,Castle Howard,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Nature,1998,Ploughing up the wood-wide web?,"Helgason, T.; Daniell, T.; Husband, R.; Fitter, A.H.; Young, J.P.W."
ESA00924,AF074372,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,TH30,VTX00017,plant roots,,Magnoliidae,Asteranae,Lamiales,Lamiaceae,Ajuga,reptans,forest,Temperate broadleaf & mixed forest,temperate broad-leaved forest,temperate,Palearctic,,,,,,,Europe,United Kingdom,England,Castle Howard,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Nature,1998,Ploughing up the wood-wide web?,"Helgason, T.; Daniell, T.; Husband, R.; Fitter, A.H.; Young, J.P.W."
ESA00940,AF074373,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,TH31,VTX00017,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Rubus ,fruticosus agg.,forest,Temperate broadleaf & mixed forest,temperate broad-leaved forest,temperate,Palearctic,,,,,,,Europe,United Kingdom,England,Castle Howard,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Nature,1998,Ploughing up the wood-wide web?,"Helgason, T.; Daniell, T.; Husband, R.; Fitter, A.H.; Young, J.P.W."
ESA00970,AF131030,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,TH40,VTX00042,plant roots,,Magnoliidae,Lilianae,Asparagales,Asparagaceae,Hyacinthoides,non-scripta,forest,Temperate broadleaf & mixed forest,temperate broad-leaved forest,temperate,Palearctic,,,,,50,,Europe,United Kingdom,England,Pretty Wood,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Molecular Ecology,1999,Molecular diversity of arbuscular mycorrhizal fungi colonising Hyacinthoides non-scripta (bluebell) in a seminatural woodland,"Helgason, T.; Fitter, A.H.; Young, J.P.W."
ESA00948,AF131031,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acau1,VTX00042,plant roots,,Magnoliidae,Lilianae,Asparagales,Asparagaceae,Hyacinthoides,non-scripta,forest,Temperate broadleaf & mixed forest,temperate broad-leaved forest,temperate,Palearctic,,,,,50,,Europe,United Kingdom,England,Pretty Wood,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Molecular Ecology,1999,Molecular diversity of arbuscular mycorrhizal fungi colonising Hyacinthoides non-scripta (bluebell) in a seminatural woodland,"Helgason, T.; Fitter, A.H.; Young, J.P.W."
ESA00959,AF131032,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acau1,VTX00176,plant roots,,Magnoliidae,Lilianae,Asparagales,Asparagaceae,Hyacinthoides,non-scripta,forest,Temperate broadleaf & mixed forest,temperate broad-leaved forest,temperate,Palearctic,,,,,50,,Europe,United Kingdom,England,Pretty Wood,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Molecular Ecology,1999,Molecular diversity of arbuscular mycorrhizal fungi colonising Hyacinthoides non-scripta (bluebell) in a seminatural woodland,"Helgason, T.; Fitter, A.H.; Young, J.P.W."
ESA00960,AF131033,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acau1,VTX00017,plant roots,,Magnoliidae,Lilianae,Asparagales,Asparagaceae,Hyacinthoides,non-scripta,forest,Temperate broadleaf & mixed forest,temperate broad-leaved forest,temperate,Palearctic,,,,,50,,Europe,United Kingdom,England,Pretty Wood,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Molecular Ecology,1999,Molecular diversity of arbuscular mycorrhizal fungi colonising Hyacinthoides non-scripta (bluebell) in a seminatural woodland,"Helgason, T.; Fitter, A.H.; Young, J.P.W."
ESA00949,AF131035,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acau1,VTX00017,plant roots,,Magnoliidae,Lilianae,Asparagales,Asparagaceae,Hyacinthoides,non-scripta,forest,Temperate broadleaf & mixed forest,temperate broad-leaved forest,temperate,Palearctic,,,,,50,,Europe,United Kingdom,England,Pretty Wood,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Molecular Ecology,1999,Molecular diversity of arbuscular mycorrhizal fungi colonising Hyacinthoides non-scripta (bluebell) in a seminatural woodland,"Helgason, T.; Fitter, A.H.; Young, J.P.W."
ESA00961,AF131037,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acau1,VTX00272,plant roots,,Magnoliidae,Lilianae,Asparagales,Asparagaceae,Hyacinthoides,non-scripta,forest,Temperate broadleaf & mixed forest,temperate broad-leaved forest,temperate,Palearctic,,,,,50,,Europe,United Kingdom,England,Pretty Wood,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Molecular Ecology,1999,Molecular diversity of arbuscular mycorrhizal fungi colonising Hyacinthoides non-scripta (bluebell) in a seminatural woodland,"Helgason, T.; Fitter, A.H.; Young, J.P.W."
ESA00962,AF131038,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acau1,VTX00272,plant roots,,Magnoliidae,Lilianae,Asparagales,Asparagaceae,Hyacinthoides,non-scripta,forest,Temperate broadleaf & mixed forest,temperate broad-leaved forest,temperate,Palearctic,,,,,50,,Europe,United Kingdom,England,Pretty Wood,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Molecular Ecology,1999,Molecular diversity of arbuscular mycorrhizal fungi colonising Hyacinthoides non-scripta (bluebell) in a seminatural woodland,"Helgason, T.; Fitter, A.H.; Young, J.P.W."
ESA00950,AF131040,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acau5,VTX00016,plant roots,,Magnoliidae,Lilianae,Asparagales,Asparagaceae,Hyacinthoides,non-scripta,forest,Temperate broadleaf & mixed forest,temperate broad-leaved forest,temperate,Palearctic,,,,,50,,Europe,United Kingdom,England,Pretty Wood,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Molecular Ecology,1999,Molecular diversity of arbuscular mycorrhizal fungi colonising Hyacinthoides non-scripta (bluebell) in a seminatural woodland,"Helgason, T.; Fitter, A.H.; Young, J.P.W."
ESA00969,AF131041,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,laevis,VTX00023,cultured spores,unknown isolate,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,culture,,culture,,,,,,,,,,,,,0deg0.00' 0deg0.00',,NS31,AM1,18S rDNA,Sanger,,Molecular Ecology,1999,Molecular diversity of arbuscular mycorrhizal fungi colonising Hyacinthoides non-scripta (bluebell) in a seminatural woodland,"Helgason, T.; Fitter, A.H.; Young, J.P.W."
ESA00951,AF131042,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acau3,VTX00228,plant roots,,Magnoliidae,Lilianae,Asparagales,Asparagaceae,Hyacinthoides,non-scripta,forest,Temperate broadleaf & mixed forest,temperate broad-leaved forest,temperate,Palearctic,,,,,50,,Europe,United Kingdom,England,Pretty Wood,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Molecular Ecology,1999,Molecular diversity of arbuscular mycorrhizal fungi colonising Hyacinthoides non-scripta (bluebell) in a seminatural woodland,"Helgason, T.; Fitter, A.H.; Young, J.P.W."
ESA01650,AF437642,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acau5,VTX00030,plant roots,,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,grassland,Temperate seminatural grassland,temperate seminatural grassland,temperate,Palearctic,,,,,,,Europe,United Kingdom,Scotland,"Natural Environment Research Council Soil Biodiversity experimental field, Sourhope, Kelso",55deg28.33'N 2deg14.30'W,,NS31,AM1,18S rDNA,Sanger,,Molecular Ecology,2002,Arbuscular mycorrhizal community composition associated with two plant species in a grassland ecosystem,"Vandenkoornhuyse, P.; Husband, R.; Daniell, T.; Watson, I.J.; Duck, J.M.; Fitter, A.H.; Young, J.P.W."
ESA01653,AF437647,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acau6,VTX00030,plant roots,,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,grassland,Temperate seminatural grassland,temperate seminatural grassland,temperate,Palearctic,,,,,,,Europe,United Kingdom,Scotland,"Natural Environment Research Council Soil Biodiversity experimental field, Sourhope, Kelso",55deg28.33'N 2deg14.30'W,,NS31,AM1,18S rDNA,Sanger,,Molecular Ecology,2002,Arbuscular mycorrhizal community composition associated with two plant species in a grassland ecosystem,"Vandenkoornhuyse, P.; Husband, R.; Daniell, T.; Watson, I.J.; Duck, J.M.; Fitter, A.H.; Young, J.P.W."
ESA01656,AF437649,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acau3,VTX00228,plant roots,,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,grassland,Temperate seminatural grassland,temperate seminatural grassland,temperate,Palearctic,,,,,,,Europe,United Kingdom,Scotland,"Natural Environment Research Council Soil Biodiversity experimental field, Sourhope, Kelso",55deg28.33'N 2deg14.30'W,,NS31,AM1,18S rDNA,Sanger,,Molecular Ecology,2002,Arbuscular mycorrhizal community composition associated with two plant species in a grassland ecosystem,"Vandenkoornhuyse, P.; Husband, R.; Daniell, T.; Watson, I.J.; Duck, J.M.; Fitter, A.H.; Young, J.P.W."
ESA00868,AF485878,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acau5,VTX00016,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Rubus ,fruticosus agg.,forest,Temperate broadleaf & mixed forest,temperate broad-leaved forest,temperate,Palearctic,,,,,50,,Europe,United Kingdom,England,Pretty Wood,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Journal of Ecology,2002,Selectivity and functional diversity in arbuscular mycorrhizas of co-occurring fungi and plants from a temperate deciduous woodland,"Helgason, T.; Merryweather, J.W.; Denison, J.; Wilson, P.; Young, J.P.W.; Fitter, A.H."
