MaarjAM accession number,GenBank accession number,Fungal class,Fungal order,Fungal family,Fungal genus,Fungal species,VTX,Source,Source specify,Host subclass,Host superorder,Host order,Host family,Host genus,Host species,Ecosystem,Biome,Habitat,Climatic zone,Biogeo realm,Soil pH,C content,P content,N content,Altitude (m),Average annual precipitation (mm),Continent,Country,State,Location,Coordinates,Culture code,Forward primer,Reverse primer,Marker region,Sequencing method,Sequencing chemistry,Journal,Year,Title,Authors
MOA25699,AB747012,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Yoshimura13b Div1,,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Pyrus,pyrifolia,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6,32.5 g/kg (total C),245.1 mg/kg (available P),3.05 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Togo,35deg28.00'N 133deg55.06'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of Arbuscular Mycorrhizal Fungi in Pyrus pyrifolia var. culta (Japanese pear) and an Understory Herbaceous Plant Plantago asiatica,"Yoshimura, Y.; Ido, A.; Matsumoto, T.; Yamato, M."
MOA25700,AB747013,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Yoshimura13b Div1,,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Pyrus,pyrifolia,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6,32.5 g/kg (total C),245.1 mg/kg (available P),3.05 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Togo,35deg28.00'N 133deg55.06'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of Arbuscular Mycorrhizal Fungi in Pyrus pyrifolia var. culta (Japanese pear) and an Understory Herbaceous Plant Plantago asiatica,"Yoshimura, Y.; Ido, A.; Matsumoto, T.; Yamato, M."
MOA25701,AB747014,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Yoshimura13b Div1,,plant roots,,Magnoliidae,Asteranae,Lamiales,Plantaginaceae,Plantago,asiatica,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6,32.5 g/kg (total C),245.1 mg/kg (available P),3.05 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Togo,35deg28.00'N 133deg55.06'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of Arbuscular Mycorrhizal Fungi in Pyrus pyrifolia var. culta (Japanese pear) and an Understory Herbaceous Plant Plantago asiatica,"Yoshimura, Y.; Ido, A.; Matsumoto, T.; Yamato, M."
MOA25702,AB747015,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Yoshimura13b Div1,,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Pyrus,pyrifolia,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6,32.5 g/kg (total C),245.1 mg/kg (available P),3.05 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Togo,35deg28.00'N 133deg55.06'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of Arbuscular Mycorrhizal Fungi in Pyrus pyrifolia var. culta (Japanese pear) and an Understory Herbaceous Plant Plantago asiatica,"Yoshimura, Y.; Ido, A.; Matsumoto, T.; Yamato, M."
MOA25703,AB747016,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,sp.,,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Pyrus,pyrifolia,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6,32.5 g/kg (total C),245.1 mg/kg (available P),3.05 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Togo,35deg28.00'N 133deg55.06'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of Arbuscular Mycorrhizal Fungi in Pyrus pyrifolia var. culta (Japanese pear) and an Understory Herbaceous Plant Plantago asiatica,"Yoshimura, Y.; Ido, A.; Matsumoto, T.; Yamato, M."
MOA25704,AB747017,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Yoshimura13b Div2,,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Pyrus,pyrifolia,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6,32.5 g/kg (total C),245.1 mg/kg (available P),3.05 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Togo,35deg28.00'N 133deg55.06'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of Arbuscular Mycorrhizal Fungi in Pyrus pyrifolia var. culta (Japanese pear) and an Understory Herbaceous Plant Plantago asiatica,"Yoshimura, Y.; Ido, A.; Matsumoto, T.; Yamato, M."
MOA25705,AB747018,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Yoshimura13b Div2,,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Pyrus,pyrifolia,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6,32.5 g/kg (total C),245.1 mg/kg (available P),3.05 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Togo,35deg28.00'N 133deg55.06'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of Arbuscular Mycorrhizal Fungi in Pyrus pyrifolia var. culta (Japanese pear) and an Understory Herbaceous Plant Plantago asiatica,"Yoshimura, Y.; Ido, A.; Matsumoto, T.; Yamato, M."
MOA25706,AB747019,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Yoshimura13b Div2,,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Pyrus,pyrifolia,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6,32.5 g/kg (total C),245.1 mg/kg (available P),3.05 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Togo,35deg28.00'N 133deg55.06'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of Arbuscular Mycorrhizal Fungi in Pyrus pyrifolia var. culta (Japanese pear) and an Understory Herbaceous Plant Plantago asiatica,"Yoshimura, Y.; Ido, A.; Matsumoto, T.; Yamato, M."
MOA25707,AB747020,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,sp.,,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Pyrus,pyrifolia,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6,49 g/kg (total C),987.3 mg/kg (available P),4.29 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Yura,35deg28.30'N 133deg44.30'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of Arbuscular Mycorrhizal Fungi in Pyrus pyrifolia var. culta (Japanese pear) and an Understory Herbaceous Plant Plantago asiatica,"Yoshimura, Y.; Ido, A.; Matsumoto, T.; Yamato, M."
MOA08399,AB749527,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Goomaral13b Div 1,VTX00356,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Leymus,chinensis,grassland,Temperate natural grassland,steppe,temperate,Palearctic,7.6,18.7 g/kg (Total C),70.7 mg/kg (Available P),2.43 g/kg (Total N),1239,,Asia,Mongolia,Tov Province,Hustai National Park 8,47deg42.09'N 106deg2.01'E,,AML1,AML2,18S rDNA,Sanger,,Mycoscience,2013,Effect of plant species on communities of arbuscular mycorrhizal fungi in the Mongolian steppe,"Goomaral, A.; Undarmaa, J.; Matsumoto, T.; Yamato, M."
MOA08403,AB749532,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Goomaral13b Div 1,VTX00356,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Leymus,chinensis,grassland,Temperate natural grassland,steppe,temperate,Palearctic,7.6,18.7 g/kg (Total C),70.7 mg/kg (Available P),2.43 g/kg (Total N),1239,,Asia,Mongolia,Tov Province,Hustai National Park 8,47deg42.09'N 106deg2.01'E,,AML1,AML2,18S rDNA,Sanger,,Mycoscience,2013,Effect of plant species on communities of arbuscular mycorrhizal fungi in the Mongolian steppe,"Goomaral, A.; Undarmaa, J.; Matsumoto, T.; Yamato, M."
MOA43589,AB909063,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Yamato14 Div1,,plant roots,,Magnoliidae,Lilianae,Petrosaviales,Petrosaviaceae,Japonolirion,osense,,,,subtropical,Palearctic,,,,,,,Asia,Japan,Gunma Prefecture,Shibutsu,36deg54.00'N 139deg12.00'E,,AML1,AML2,18S rDNA,Sanger,,Journal of Plant Research,2014,Significant difference in mycorrhizal specificity between an autotrophic and its sister mycoheterotrophic plant species of Petrosaviaceae,"Yamato, M.; Ogura-Tsujita, Y.; Takahashi, H.; Yukawa, T."
MOA43590,AB909065,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Yamato14 Div1,,plant roots,,Magnoliidae,Lilianae,Petrosaviales,Petrosaviaceae,Japonolirion,osense,,,,subtropical,Palearctic,,,,,,,Asia,Japan,Gunma Prefecture,Shibutsu,36deg54.00'N 139deg12.00'E,,AML1,AML2,18S rDNA,Sanger,,Journal of Plant Research,2014,Significant difference in mycorrhizal specificity between an autotrophic and its sister mycoheterotrophic plant species of Petrosaviaceae,"Yamato, M.; Ogura-Tsujita, Y.; Takahashi, H.; Yukawa, T."
ESA00937,AF074352,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Glo6,VTX00062,plant roots,,Magnoliidae,Rosanae,Fabales,Fabaceae,Pisum,sativum,anthropogenic,Anthropogenic ecosystem,temperate arable field,temperate,Palearctic,,,,,,,Europe,United Kingdom,England,Escrick,53deg52.00'N 1deg2.00'W,,NS31,AM1,18S rDNA,Sanger,,Nature,1998,Ploughing up the wood-wide web?,"Helgason, T.; Daniell, T.; Husband, R.; Fitter, A.H.; Young, J.P.W."
ESA01659,AF437655,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Glo12,VTX00061,plant roots,,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,grassland,Temperate seminatural grassland,temperate seminatural grassland,temperate,Palearctic,,,,,,,Europe,United Kingdom,Scotland,"Natural Environment Research Council Soil Biodiversity experimental field, Sourhope, Kelso",55deg28.33'N 2deg14.30'W,,NS31,AM1,18S rDNA,Sanger,,Molecular Ecology,2002,Arbuscular mycorrhizal community composition associated with two plant species in a grassland ecosystem,"Vandenkoornhuyse, P.; Husband, R.; Daniell, T.; Watson, I.J.; Duck, J.M.; Fitter, A.H.; Young, J.P.W."
ESA02135,AJ132666,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,epigaea,,cultured spores,culture BEG47,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,culture,,culture,temperate,Nearctic,7.5,,,,,,North America,USA,Oregon,Benton,44deg38.00'N 123deg23.00'W,BEG47,NS1,see notes,18S rDNA,Sanger,,Mycological Research,2001,Analysis of partial Glomales SSU rRNA gene sequences: implications for primer design and phylogeny,"Schussler, A.; Gehrig, H.; Schwarzott, D.; Walker, C."
ESA02139,AJ276076,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,sp.,,cultured spores,culture Att382-16/W2423,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,culture,,culture,temperate,Palearctic,,,,,,,Europe,United Kingdom,Scotland,,0deg0.00'N 0deg0.00'E,Att382-16/W2423,NS1,see notes,18S rDNA,Sanger,,Mycological Research,2001,Analysis of partial Glomales SSU rRNA gene sequences: implications for primer design and phylogeny,"Schussler, A.; Gehrig, H.; Schwarzott, D.; Walker, C."
ESA02140,AJ276077,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,spurca,VTX00263,cultured spores,culture Att246-4/W3239,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,culture,,culture,,,,,,,,,,,,,0deg0.00' 0deg0.00',,NS1,see notes,18S rDNA,Sanger,,Mycological Research,2001,Analysis of partial Glomales SSU rRNA gene sequences: implications for primer design and phylogeny,"Schussler, A.; Gehrig, H.; Schwarzott, D.; Walker, C."
ESA02141,AJ276078,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,spurca,,cultured spores,culture Att246-4/W2396,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,culture,,culture,,,,,,,,,,,,,0deg0.00' 0deg0.00',,NS1,see notes,18S rDNA,Sanger,,Mycological Research,2001,Analysis of partial Glomales SSU rRNA gene sequences: implications for primer design and phylogeny,"Schussler, A.; Gehrig, H.; Schwarzott, D.; Walker, C."
ESA02150,AJ276088,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,epigaea,VTX00061,cultured spores,culture Att475-21/W3221,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,culture,,culture,,,,,,,,,,,,,0deg0.00' 0deg0.00',,NS1,see notes,18S rDNA,Sanger,,Mycological Research,2001,Analysis of partial Glomales SSU rRNA gene sequences: implications for primer design and phylogeny,"Schussler, A.; Gehrig, H.; Schwarzott, D.; Walker, C."
ESA01188,AJ315524,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,sp.,VTX00054,other,spores from Ammophila arenaria rhizosphere,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,successional,Azonal & successional,sand dune,temperate,Palearctic,,,,,,,Europe,Netherlands,,,0deg0.00'N 0deg0.00'E,,NS31,AM1,18S rDNA,Sanger,,Molecular Ecology,2002,Community analysis of arbuscular mycorrhizal fungi associated with Ammophila arenaria in Dutch coastal sand dunes,"Kowalchuk, G.A.; de Souza, F.A.; van Veen, J.A."
ESA01189,AJ315525,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,sp.,VTX00054,other,spores from Ammophila arenaria rhizosphere,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,successional,Azonal & successional,sand dune,temperate,Palearctic,,,,,,,Europe,Netherlands,,,0deg0.00'N 0deg0.00'E,,NS31,AM1,18S rDNA,Sanger,,Molecular Ecology,2002,Community analysis of arbuscular mycorrhizal fungi associated with Ammophila arenaria in Dutch coastal sand dunes,"Kowalchuk, G.A.; de Souza, F.A.; van Veen, J.A."
ESA01881,AJ563878,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Wirsel OTU19,VTX00061,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Phragmites,australis,successional,Other wetlands,wetland,temperate,Palearctic,,,,,395,,Europe,Germany,Baden-WÃ¼rttemberg,Mainau,47deg42.22'N 9deg10.46'E,,NS31,AM1,18S rDNA,Sanger,,FEMS Microbiology Ecology,2004,Homogenous stands of a wetland grass harbour diverse consortia of arbuscular mycorrhizal fungi,"Wirsel, S.G.R."
ESA01882,AJ563880,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Wirsel OTU19,VTX00061,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Phragmites,australis,successional,Other wetlands,wetland,temperate,Palearctic,,,,,395,,Europe,Germany,Baden-WÃ¼rttemberg,Mainau,47deg42.22'N 9deg10.46'E,,NS31,AM1,18S rDNA,Sanger,,FEMS Microbiology Ecology,2004,Homogenous stands of a wetland grass harbour diverse consortia of arbuscular mycorrhizal fungi,"Wirsel, S.G.R."
ESA01889,AJ563883,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Wirsel OTU20,VTX00062,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Phragmites,australis,successional,Other wetlands,wetland,temperate,Palearctic,,,,,395,,Europe,Germany,Baden-WÃ¼rttemberg,Mainau,47deg42.22'N 9deg10.46'E,,NS31,AM1,18S rDNA,Sanger,,FEMS Microbiology Ecology,2004,Homogenous stands of a wetland grass harbour diverse consortia of arbuscular mycorrhizal fungi,"Wirsel, S.G.R."
ESA00906,AJ854092,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,sp.,VTX00060,plant roots,,Magnoliidae,Asteranae,Lamiales,Lamiaceae,Ajuga,reptans,forest,Temperate broadleaf & mixed forest,broad-leaved forest,temperate,Palearctic,,,,,50,,Europe,United Kingdom,England,Pretty Wood,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Journal of Ecology,2007,Specificity and resilience in the arbuscular mycorrhizal fungi of a natural woodland community,"Helgason, T.; Merryweather, J.W.; Young, J.P.W.; Fitter, A.H."
ESA00907,AJ854093,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,sp.,VTX00062,plant roots,,Magnoliidae,Asteranae,Lamiales,Lamiaceae,Ajuga,reptans,forest,Temperate broadleaf & mixed forest,broad-leaved forest,temperate,Palearctic,,,,,50,,Europe,United Kingdom,England,Pretty Wood,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Journal of Ecology,2007,Specificity and resilience in the arbuscular mycorrhizal fungi of a natural woodland community,"Helgason, T.; Merryweather, J.W.; Young, J.P.W.; Fitter, A.H."
ESA01422,AJ866264,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Santos2006 Div1,VTX00062,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Schedonorus,pratensis,grassland,Temperate seminatural grassland,temperate grassland,temperate,Palearctic,5.1-6.2,,20-170 mg kg-1 (soluble P),5-110 (300) mg kg-1 (mineral N),,,Europe,Sweden,Uppsala County,Honsgarde,59deg45.00'N 17deg57.00'E,,NS31,AM1,18S rDNA,Sanger,,New Phytologist,2006,Molecular analysis of arbuscular mycorrhizal fungi colonising a semi-natural grassland along a fertilisation gradient,"Santos, J.C.; Finlay, R.D.; Tehler, A."
ESA02398,AM400229,Glomeromycetes,Diversisporales,Diversisporaceae,Otospora,bareae,VTX00054,other,spores from trap culture,unspecified subclass,,,,,,shrubland,deserts and xeric shrublands,dolomitic shrubland,subtropical,Palearctic,,,,,,,Europe,Spain,Andalusia,Sierra de Baza Natural Park,37deg37.00'N 2deg97.00'W,,NS31,AM1,18S rDNA,Sanger,,Mycologia,2008,"Otospora bareai, a new fungal species in the Glomeromycetes from a dolomitic shrub land in Sierra de Baza National Park (Granada, Spain)","Palenzuela, J.; Ferrol, N.; Boller, T.; Azcon-Aguilar, C.; Oehl, F."
ESA02103,AM418543,Glomeromycetes,Diversisporales,Diversisporaceae,Redeckera,fulvum,VTX00262,other,environmental spores,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,forest,Tropical moist broadleaf forest,forest,tropical,Oceania,,,,,,,Oceania,Micronesia,Pohnpei island,Sokehs Mountain,6deg97.00'S 158deg22.00'E,,see notes,see notes,18S rDNA,Sanger,,Mycological Progress,2007,A novel clade of sporocarp-forming species of glomeromycotan fungi in the Diversisporales lineage,"Redecker, D.; Raab, P.; Oehl, F.; Camacho, F.J.; Courtecuisse, R"
ESA02369,AM713421,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,celata,VTX00060,cultured spores,FACE234/BEG231,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,grassland,Temperate cultivated grassland,agricultural grassland,temperate,Palearctic,6.5,,,,550,,Europe,Switzerland,,"Eschikon, FACE experiment site",47deg27.00'N 8deg41.00'E,BEG231/FACE234,GeoA1,ART4,18S rDNA,Sanger,,New Phytologist,2009,Diversispora celata sp. nov: molecular ecology and phylotaxonomy of an inconspicuous arbuscular mycorrhizal fungus,"Gamper, H.A.; Walker, C.; Schussler, A."
ESA02385,AM713423,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,celata,VTX00060,cultured spores,FACE83/BEG230,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,grassland,Temperate cultivated grassland,agricultural grassland,temperate,Palearctic,6.5,,,,550,,Europe,Switzerland,,"Eschikon, FACE experiment site",47deg27.00'N 8deg41.00'E,BEG230/FACE83,GeoA1,ART4,18S rDNA,Sanger,,New Phytologist,2009,Diversispora celata sp. nov: molecular ecology and phylotaxonomy of an inconspicuous arbuscular mycorrhizal fungus,"Gamper, H.A.; Walker, C.; Schussler, A."
